bug_id,creation_date,component_name,product_name,short_description,long_description,reporter_name,resolution_category,status_category,bug_fix_time,severity_category,results
POLICYKIT-52270,27-06-12,daemon,POLICYKIT,polkit configured with ./configure --disable-verbose-mode is too verbose,"This was reported at http://bugs.gentoo.org/391865 where user makes a note that the configure switch --enable/--disable-verbose-mode has no effect

Please see the first comment from the downstream bug.

I looked at the code and it looks like --enable/--disable-verbose-mode currently has no purpose? Leftover switch?

Thanks Samuli",ssuominen,fixed,resolved,9,minor,3
DRI-37239,15-05-11,DRM/Intel,DRI,Xorg-server (?) hangs sometimes during VT switch,"I'm using hibernate-script for suspend-to-ram which performs switching to text-mode VT just before hibernation. Sometimes system hangs during this switching. I suppose that only X server hangs - there is no reaction to keyboard but I've observed some HDD activity after it (I couldn't investigate it more thoroughly just when I came across it because VT switch is performed when network is already shut down and I didn't have enough time to try to reproduce it for example remotedly by ssh).

Here are the messages from syslog:

May 22 18:12:55 ynout kernel: ------------[ cut here ]------------
May 22 18:12:55 ynout kernel: kernel BUG at drivers/gpu/drm/i915/i915_gem.c:4045!
May 22 18:12:55 ynout kernel: invalid opcode: 0000 [#1] PREEMPT SMP 
May 22 18:12:55 ynout kernel: last sysfs file: /sys/devices/pci0000:00/0000:00:1c.1/0000:0c:00.0/ieee80211/phy0/rfkill1/state
May 22 18:12:55 ynout kernel: CPU 0 
May 22 18:12:55 ynout kernel: Modules linked in: tun cryptd crypto_wq aes_x86_64 aes_generic ipv6 sco bnep rfcomm l2cap bridge stp llc xt_tcpudp nf_conntrack_
ipv4 nf_defrag_ipv4 xt_state nf_conntrack iptable_filter ip_tables x_tables snd_pcm_oss snd_mixer_oss snd_seq_oss snd_seq_midi_event snd_seq snd_seq_device re
iserfs cpufreq_userspace cpufreq_stats cpufreq_powersave cpufreq_ondemand acpi_cpufreq freq_table mperf fuse vboxnetadp vboxnetflt vboxdrv snd_hda_codec_intel
hdmi arc4 ecb snd_hda_codec_idt cryptomgr crypto_hash aead pcompress crypto_blkcipher crypto_algapi sdhci_pci iwlagn iwlcore mac80211 videodev snd_hda_intel b
tusb bluetooth sdhci cfg80211 i915 snd_hda_codec snd_hwdep snd_pcm drm_kms_helper drm snd_timer firewire_ohci snd processor i2c_algo_bit dell_wmi v4l1_compat 
cfbcopyarea i2c_i801 mmc_core wmi video v4l2_compat_ioctl32 firewire_core thermal iTCO_wdt soundcore backlight iTCO_vendor_support snd_page_alloc i2c_core led
_class joydev cfbimgblt thermal_sys sg e1000e tpm_tis tpm tpm_bios battery cfbfillrect output rfkill crc_itu_t ac button [last unloaded: uvcvideo]
May 22 18:12:55 ynout kernel: 
May 22 18:12:55 ynout kernel: Pid: 2904 comm: X Not tainted 2.6.36-gentoo-r5 #1 0J805R/Latitude E4300                  
May 22 18:12:55 ynout kernel: RIP: 0010:[]  [] i915_gem_object_pin+0x197/0x1c0 [i915]
May 22 18:12:55 ynout kernel: RSP: 0018:ffff880113367688  EFLAGS: 00010246

There isn't anything interesting in Xorg log - the last lines are:

[132247.411] (II) config/udev: removing device Integrated_Webcam_2M
[132247.411] (II) Integrated_Webcam_2M: Close
[132247.411] (II) UnloadModule: evdev
[132247.545] (II) AIGLX: Suspending AIGLX clients for VT switch

This problem was observed two times with the same messages in syslog.

Software versions:
Kernel 2.6.36 (2.6.36-gentoo-r5 it is 2.6.36.2 with additional patches)
xorg-server-1.8.2
xf86-video-intel-2.12.0

Video card info from lspci -vvv:
00:02.0 VGA compatible controller: Intel Corporation Mobile 4 Series Chipset Integrated Graphics Controller (rev 07) (prog-if 00 [VGA controller])
        Subsystem: Dell Device 024d
        Control: I/O+ Mem+ BusMaster+ SpecCycle- MemWINV- VGASnoop- ParErr- Stepping- SERR- FastB2B- DisINTx+
        Status: Cap+ 66MHz- UDF- FastB2B+ ParErr- DEVSEL=fast >TAbort- SERR- <PERR- INTx-
        Latency: 0
        Interrupt: pin A routed to IRQ 43
        Region 0: Memory at f6c00000 (64-bit non-prefetchable) [size=4M]
        Region 2: Memory at e0000000 (64-bit prefetchable) [size=256M]
        Region 4: I/O ports at ef70 [size=8]
        Expansion ROM at  [disabled]
        Capabilities: [90] MSI: Enable+ Count=1/1 Maskable- 64bit-
                Address: fee0300c  Data: 4189
        Capabilities: [d0] Power Management version 3
                Flags: PMEClk- DSI+ D1- D2- AuxCurrent=0mA PME(D0-D1-D2-D3hot-D3cold-)
                Status: D0 NoSoftRst- PME-Enable- DSel=0 DScale=0 PME-
        Kernel driver in use: i915
        Kernel modules: i915

00:02.1 Display controller: Intel Corporation Mobile 4 Series Chipset Integrated Graphics Controller (rev 07)
        Subsystem: Dell Device 024d
        Control: I/O+ Mem+ BusMaster+ SpecCycle- MemWINV- VGASnoop- ParErr- Stepping- SERR- FastB2B- DisINTx-
        Status: Cap+ 66MHz- UDF- FastB2B+ ParErr- DEVSEL=fast >TAbort- SERR- <PERR- INTx-
        Latency: 0
        Region 0: Memory at f6b00000 (64-bit non-prefetchable) [size=1M]
        Capabilities: [d0] Power Management version 3
                Flags: PMEClk- DSI+ D1- D2- AuxCurrent=0mA PME(D0-D1-D2-D3hot-D3cold-)
                Status: D0 NoSoftRst- PME-Enable- DSel=0 DScale=0 PME-",slava,fixed,closed,3,normal,0
XORG-35955,04-04-11,Lib/Xi,XORG,Bus error on Loongson (mipsel),"Bus error on Loongson (mipsel) because unaligned access.

From 89138a43ff3c3ad6eab35f53427b5d8c6c820375 Mon Sep 17 00:00:00 2001
From: Heiher 
Date: Mon 4 Apr 2011 21:15:22 +0800
Subject: [PATCH] Fixup unaligned access for mips

---
 src/XExtInt.c |   16 +++++++++-------
 1 files changed 9 insertions(+) 7 deletions(-)

diff --git a/src/XExtInt.c b/src/XExtInt.c
index d2251cc..277179a 100644
--- a/src/XExtInt.c
+++ b/src/XExtInt.c
@@ -152120 +152122 @@ copy_classes(XIDeviceInfo* to xXIAnyInfo* from int nclasses)
             case XIValuatorClass:
                 {
                     XIValuatorClassInfo *cls_lib
+                    XIValuatorClassInfo clib
                     xXIValuatorInfo *cls_wire
 
                     cls_lib = next_block(
                     cls_wire = (xXIValuatorInfo*)any_wire
 
-                    cls_lib->number = cls_wire->number
-                    cls_lib->label  = cls_wire->label
-                    cls_lib->resolution = cls_wire->resolution
-                    cls_lib->min        = cls_wire->min.integral
-                    cls_lib->max        = cls_wire->max.integral
-                    cls_lib->value      = cls_wire->value.integral
+                    clib.number = cls_wire->number
+                    clib.label  = cls_wire->label
+                    clib.resolution = cls_wire->resolution
+                    clib.min        = cls_wire->min.integral
+                    clib.max        = cls_wire->max.integral
+                    clib.value      = cls_wire->value.integral
                     /* FIXME: fractional parts */
-                    cls_lib->mode       = cls_wire->mode
+                    clib.mode       = cls_wire->mode
 
+					memmove(cls_lib 
                 }
                 break
         }
-- 
1.7.4.1",admin,fixed,resolved,321,normal,0
LIBREOFFICE-41381,01-10-11,Spreadsheet,LIBREOFFICE,Function INDIRECT fails with sheet specific names,INDIRECT(Local1) fails with error 502 (invalid argument) when Local1 refers to a sheet specific name.,villeroy,fixed,resolved,4,normal,0
XORG-12448,16-09-07,App/xinit,XORG,xinit's startx tries to trap 'ERR',"b9d07ef3e07ef6f00a2f1cc730a481e5e1291f5b added the following line to the startx script:

trap rm -f $xserverauthfile ERR HUP INT QUIT ILL TRAP KILL BUS TERM
                              ^^^

startx is advertised as being a POSIX shell script but POSIX compatible shells don't need to handle ERR in trap (there's no SIGERR).
This change causes startx to fail if dash is used for /bin/sh.",tilman,fixed,resolved,502,normal,0
MESA-75295,21-02-22,Drivers/DRI/i965,MESA,Frequent hang and render glitches on Ubuntu 22.04,"After the latest kernel upgrade my system has many graphical glitches and is locking up frequently. The dmesg output has errors like these:

[ 1951.568672] Watchdog[2753]: segfault at 0 ip 00007fe00773a32e sp 00007fdff869f680 error 6 in chrome[7fe003cbe000+5dd9000]
[ 1959.241676] [drm] stuck on render ring
[ 1959.241685] [drm] GPU crash dump saved to /sys/class/drm/card0/error
[ 1959.241686] [drm] GPU hangs can indicate a bug anywhere in the entire gfx stack including userspace.
[ 1959.241687] [drm] Please file a _new_ bug report on bugs.freedesktop.org against DRI -> DRM/Intel
[ 1959.241688] [drm] drm/i915 developers can then reassign to the right component if it's not a kernel issue.
[ 1959.241689] [drm] The gpu crash dump is required to analyze gpu hangs so please always attach it.
[ 1959.244266] [drm:i915_set_reset_status] *ERROR* render ring hung inside bo (0x3dc32000 ctx 17) at 0x3dc32c48
[ 3964.330034] perf samples too long (2503 > 2500) lowering kernel.perf_event_max_sample_rate to 50000
[ 4849.028446] [drm] stuck on render ring
[ 4849.028492] [drm:i915_set_reset_status] *ERROR* render ring hung inside bo (0x565c2000 ctx 17) at 0x565c2c48
[ 4861.093551] Watchdog[5226]: segfault at 0 ip 00007fc00d36f32e sp 00007fbffe2d4680 error 6 in chrome[7fc0098f3000+5dd9000]
[ 4863.020198] [drm] stuck on render ring
[ 4863.020255] [drm:i915_set_reset_status] *ERROR* render ring hung inside bo (0x3dc32000 ctx 17) at 0x3dc32c48
[ 4893.028245] [drm] stuck on render ring
[ 4893.028295] [drm:i915_set_reset_status] *ERROR* render ring hung inside bo (0x4cbed000 ctx 10) at 0x4cbedc98
[ 4899.041855] [drm] stuck on render ring
[ 4899.041900] [drm:i915_set_reset_status] *ERROR* render ring hung inside bo (0xea3d000 ctx 10) at 0xea3dc98
[ 4899.041903] [drm:i915_context_is_banned] *ERROR* context hanging too fast declaring banned!
[ 5833.173837] warning: `VBoxHeadless' uses 32-bit capabilities (legacy support in use)
[ 5833.326542] device vboxnet0 entered promiscuous mode
[ 6429.476175] [drm] stuck on render ring
[ 6488.455986] [drm] stuck on render ring
[ 6547.507818] [drm] stuck on render ring
[ 6615.490047] [drm] stuck on render ring

I am not sure if the xserver-xorg-video-intel ricver was also updated at the same time. This is the version in use:

rdhruva@ubuntu:~$ apt-cache policy xserver-xorg-video-intel
xserver-xorg-video-intel:
  Installed: 2:2.99.910-0ubuntu1
  Candidate: 2:2.99.910-0ubuntu1
  Version table:
 *** 2:2.99.910-0ubuntu1 0
        500 http://us.archive.ubuntu.com/ubuntu/ trusty/main amd64 Packages
        100 /var/lib/dpkg/status

The corresponding ubuntu bug is: https://bugs.launchpad.net/ubuntu/+source/linux/+bug/1282867. That bug has a lot of information including dmidecode output.",rohandhruva,fixed,resolved,54,major,2
LIBREOFFICE-61924,06-03-13,deletionrequest,LIBREOFFICE,Extensionname: test,"Problem description: 

Steps to reproduce:
1. ....test
2. ....
3. ....

Current behavior:

Expected behavior:

              
Operating System: Windows XP
Version: 4.1.0.0.alpha0+ Master",programming,fixed,closed,0,normal,0
LIBREOFFICE-67130,21-07-13,Database,LIBREOFFICE,LibO does not start if not all components of LibO are installed in certain cases,"Using the LibreOffice MSI package for LibreOffice 4.0.4 32 Bit Windows 7 Pro DE I made the following observations:

 * when Base is installed as the only component it is not possible to start it (when the exe is launched nothing happens no splash screen etc.)
 * when I add Writer to the installation Base is working

Does Base depend on Writer (shared libraries?) and should this be fixed?

Kind regards
Matthias",matthias,fixed,closed,84,major,2
MESA-29540,12-08-10,Mesa core,MESA,[glsl2] problem with vertex attribute locations and draw-time validation,"I'm still digging into this one but I want to file the bug now.

Something's different in the new compiler with respect to the layout/allocation of generic vertex attributes.  glGetAttribLocation() is returning different values than before.

The check at api_validate.c:124 is failing with some shaders so drawing becomes a no-op.  If I disable the array enable checks the rendering appears as it should.  I'm actually not 100% sure that the check there is correct.  I need to review the GL specs.

I don't have a small test case for this yet.",brian.e.paul,fixed,resolved,1,normal,0
CAIRO-53841,20-08-12,general,CAIRO,Rectangle drawn incorrectly when it has zero height and miter limit morethan 1.422,"Created attachment 65828
example highlights the error

Test case http://philip.html5.org/tests/canvas/suite/tests/2d.path.rect.zero.6.html is failing on browser ports using Cairo(Firefox Webkit GTK/EFL). The problem can be seen more clearly with the attached example.

Example draws a rectangle from (10025) to (50025) and expects it not to draw anything in the region (00)-(10050) since the height zero. But the test is failing because the rectangle is getting expanded by half the line width and drawn incorrectly at x < 100. 

https://bugzilla.mozilla.org/show_bug.cgi?id=407107 has some insight about the issue.",sudarsana.nagineni,fixed,resolved,0,normal,0
XORG-92728,29-10-15,Driver/intel,XORG,connector properties sometimes go outdated,"The intel ddx sometimes doesn't return the edid on a XRRGetOutputProperty() call. The wrong seems to be due to sna_output->prop_values not being up to date.

If I force the properties to be updated on sna_output_attach_edid() I always get a valid edid. Something like:

@@ -32356 +32388 @@ sna_output_attach_edid(xf86OutputPtr output)
        if (sna_output->edid_idx == -1)
                return
 
+        update_properties(sna sna_output)
+
        raw = sna_output->edid_raw
        blob.length = sna_output->edid_len


that's unlikely to the the correct solution since it seems that the driver is trying to cache these values but I'm not sure where's the correct place to invalidate the cache.",tiagomatos,fixed,resolved,1,normal,0
MESA-75929,08-03-22,Drivers/Gallium/r600,MESA,Configuring Mesa to use shared libLLVM.so fails,"Created attachment 95379
Patch for configure.ac to fix building against libLLVM.so

Configuring Mesa to build on Fedora 20 with the shared libLLVM.so is ignoring the new --enable-llvm-shared-libs option. It looks like two references to with_llvm_shared_libs were missed in configure.ac.

I have attached a patch.",rankincj,fixed,resolved,3,normal,0
DRI-12194,28-08-07,DRM/other,DRI,drm module from git unable to cooperate with i965_dri.so on intel 965GM,"We are building the git versions of xorg/drm/mesa regularly installing the drm kernel modules along with the library.

When doing this lately we get an error in the xorg log where normally the dri module would have been inserted:

=========================================================================
drmOpenDevice: node name is /dev/dri/card0
drmOpenDevice: open result is 9 (OK)
drmOpenByBusid: Searching for BusID pci:0000:00:02.0
drmOpenDevice: node name is /dev/dri/card0
drmOpenDevice: open result is 9 (OK)
drmOpenByBusid: drmOpenMinor returns 9
drmOpenByBusid: drmGetBusid reports pci:0000:00:02.0
(EE) AIGLX error: Calling driver entry point failed(EE) AIGLX: reverting
to software rendering
=========================================================================

This effect does not appear on the 945GM and 965G chipsets only on 965GM.
  !!! It also  does not appear with the drm modules that come with the kernel
      natively !!!

setup:

xorg (libserverdrivers) git 2007-08-24
Mesa git 2007-08-24
drm git 2007-08-24 (persists in git 2007-08-27)
kernel 2.6.22.5

lspci -v (graphics chip):
00:02.0 VGA compatible controller: Intel Corporation Mobile GM965/GL960 Integrated Graphics Controller (rev 0c) (prog-if 00 [VGA])
        Subsystem: Dell Unknown device 01fe
        Flags: bus master fast devsel latency 0 IRQ 16
        Memory at fea00000 (64-bit non-prefetchable) [size=1M]
        Memory at e0000000 (64-bit prefetchable) [size=256M]
        I/O ports at eff8 [size=8]
        Capabilities: [90] Message Signalled Interrupts: 64bit- Queue=0/0 Enable-
        Capabilities: [d0] Power Management version 3",dr-xorg,fixed,resolved,70,normal,0
XORG-6225,05-03-06,Server/Input/Core,XORG,xorg ddx attempts to ignore xi,"Instead of dealing with Xi properly the Xorg core currently ignores Xi and just
hopes that it will go away.  The best example is the CorePointer/SendCoreEvents
madness which is just crying out for a abstract core devices which are mere
aggregators.",daniel,fixed,resolved,241,normal,0
DRI-24548,15-10-09,DRM/Intel,DRI,S3 suspending supports for Ironlake graphics,"Created attachment 30445
Fix  LVDS black screen issue after resuming from S3

I get a system based Arrandale. With the following Zhenyu's 4 patches  it can work but after resuming from S3  LVDS has no outputs.

[PATCH 1/2] drm/i915: Fix FDI M/N setting according with correct color depth
[PATCH 2/2] drm/i915: disable powersave feature for Ironlake currently
[PATCH 3/3] drm/i915: fix to setup display reference clock control on Ironlake
[PATCH] drm/i915: Fix LVDS for Ironlake when assigned to pipe A


I try to cook out a patch  it works. See the attachment.",chaohong.guo,fixed,closed,21,major,2
WOCKY-29019,12-07-10,General,WOCKY,Support interactive TLS certificate verification on connection,"This is needed for implementing what I've proposed in bug 29018.
The wocky branch is here [1] and should be ready for review it contains commits from Eitan which I squashed a bit together and on top of which I pushed some other changes/fixes.

[1] http://git.collabora.co.uk/?p=user/cosimoc/wocky.gita=shortlogh=refs/heads/tls-connection",cosimoc,fixed,resolved,11,normal,0
SYSTEMD-49112,24-04-12,general,SYSTEMD,systemd-nspawn can't start systemd system,"1. I prepared small gentoo system with systemd in kvm.
2. It boots successfully with kvm
3. I commented lines in fstab
4. Trying use systemd-nspawn
5. System doesn't boots

# this is how I switching testing same data with kvm and systemd-nspawn
umount /media/gentoo-mobile
kpartx -d gentoo-mobile.img
qemu-kvm -machine pcaccel=kvm -drive file=gentoo-mobile.imgif=virtiomedia=disk -m 1G -vga qxl -spice disable-ticketingport=7777
kpartx -a gentoo-mobile.img
mount /dev/mapper/loop0p2 /media/gentoo-mobile

# full log including manual killing systemd
m_melnikau-vaio kvms # systemd-nspawn -D /media/gentoo-mobile/ /sbin/init
Spawning namespace container on /media/gentoo-mobile (console is /dev/pts/8).
systemd 44 running in system mode. (+PAM +LIBWRAP -AUDIT -SELINUX -SYSVINIT -LIBCRYPTSETUP gentoo)

Welcome to Gentoo Linux!

Set hostname to .
Netlink failure for request 1: Operation not permitted
Failed to configure loopback device: Operation not permitted
Failed to enable ctrl-alt-del handling: Operation not permitted
Failed to open /dev/tty0: No such file or directory
Failed to open /dev/autofs: No such file or directory
Failed to initialize automounter: No such file or directory
Unit proc-sys-fs-binfmt_misc.automount entered failed state.
Starting File System Check on Root Device...
Started Runtime Directory                                                                                                  [  OK  ]
Starting Setup Virtual Console...
Started Set Up Additional Binary Formats                                                                                   [  OK  ]
Started Huge Pages File System                                                                                             [  OK  ]
Starting POSIX Message Queue File System...
Starting Debug File System...
Started Security File System                                                                                               [  OK  ]
Started Load Kernel Modules                                                                                                [  OK  ]
Starting Configuration File System...
Starting FUSE Control File System...
Starting Apply Kernel Variables...
Started udev Kernel Device Manager                                                                                         [  OK  ]
Starting udev Coldplug all Devices...
Starting Journal Service...
Started Journal Service                                                                                                    [  OK  ]
Starting Remount API VFS...
Started File System Check on Root Device                                                                                   [  OK  ]
Started Media Directory                                                                                                    [  OK  ]
systemd-vconsole-setup.service: main process exited code=exited status=1
Failed to start Setup Virtual Console                                                                                      [FAILED]
See 'systemctl status systemd-vconsole-setup.service' for details.
Unit systemd-vconsole-setup.service entered failed state.
Started POSIX Message Queue File System                                                                                    [  OK  ]
Started Debug File System                                                                                                  [  OK  ]
Started Configuration File System                                                                                          [  OK  ]
Started FUSE Control File System                                                                                           [  OK  ]
systemd-sysctl.service: main process exited code=exited status=1
Failed to start Apply Kernel Variables                                                                                     [FAILED]
See 'systemctl status systemd-sysctl.service' for details.
Unit systemd-sysctl.service entered failed state.
systemd-journald.service: main process exited code=exited status=205
Unit systemd-journald.service entered failed state.
Started Remount API VFS                                                                                                    [  OK  ]
Started udev Coldplug all Devices                                                                                          [  OK  ]
Starting Remount Root FS...
Starting Journal Service...
Started Journal Service                                                                                                    [  OK  ]
systemd-journald.service: main process exited code=exited status=205
Started Remount Root FS                                                                                                    [  OK  ]
Starting Load Random Seed...
Starting Recreate Volatile Files and Directories...
Started Load Random Seed                                                                                                   [  OK  ]
Started Recreate Volatile Files and Directories                                                                            [  OK  ]
Starting D-Bus System Message Bus...
Starting Login Service...
Starting Permit User Sessions...
Starting Journal Service...
Started Journal Service                                                                                                    [  OK  ]
systemd-logind.service: main process exited code=exited status=205
Failed to start Login Service                                                                                              [FAILED]
See 'systemctl status systemd-logind.service' for details.
Unit systemd-logind.service entered failed state.
Started Permit User Sessions                                                                                               [  OK  ]
systemd-journald.service: main process exited code=exited status=205
Unit systemd-journald.service entered failed state.
Started D-Bus System Message Bus                                                                                           [  OK  ]
Starting Console Shell...
Started Console Shell                                                                                                      [  OK  ]
Failed at step EXEC spawning /sbin/sulogin: No such file or directory
Starting Cleanup of Temporary Directories...
Started Cleanup of Temporary Directories                                                                                   [  OK  ]
Starting Journal Service...
Started Journal Service                                                                                                    [  OK  ]
systemd-journald.service: main process exited code=exited status=205
Unit systemd-journald.service entered failed state.
Starting Journal Service...
Started Journal Service                                                                                                    [  OK  ]
systemd-journald.service: main process exited code=exited status=205
Unit systemd-journald.service entered failed state.
Starting Journal Service...
Started Journal Service                                                                                                    [  OK  ]
Stopping /proc/sys...
Stopping /etc/localtime...
Stopping /dev/console...
Stopping D-Bus System Message Bus...
Stopping Console Shell...
Starting Save Random Seed...
systemd-journald.service: main process exited code=exited status=205
Unit systemd-journald.service entered failed state.
Stopped /proc/sys                                                                                                          [  OK  ]
Stopped D-Bus System Message Bus                                                                                           [  OK  ]
Stopped /etc/localtime                                                                                                     [  OK  ]
dev-console.mount mount process exited code=exited status=1
Stopped /dev/console                                                                                                       [  OK  ]
Started Save Random Seed                                                                                                   [  OK  ]
Starting Journal Service...
systemd-journald.service start request repeated too quickly refusing to start.
Unit systemd-journald.socket entered failed state.
Failed to start Journal Service                                                                                            [FAILED]
See 'systemctl status systemd-journald.service' for details.
Stopped Console Shell                                                                                                      [  OK  ]
Stopping Permit User Sessions...
systemd-user-sessions.service: control process exited code=exited status=209
Stopped Permit User Sessions                                                                                               [  OK  ]
Unit systemd-user-sessions.service entered failed state.
Starting Notify Audit System and Update UTMP about System Runlevel Changes...
Stopping Remount API VFS...
Stopped Remount API VFS                                                                                                    [  OK  ]
Stopping Remount Root FS...
Stopped Remount Root FS                                                                                                    [  OK  ]
systemd-update-utmp-runlevel.service: main process exited code=exited status=209
Unit systemd-update-utmp-runlevel.service entered failed state.
media.mount mount process exited code=exited status=209
systemd-update-utmp-shutdown.service: main process exited code=exited status=209
Unit systemd-update-utmp-shutdown.service entered failed state.
poweroff.service: main process exited code=exited status=209
Job poweroff.target/start failed with result 'dependency'.
Unit poweroff.service entered failed state.

^C'/sbin/init terminated by signal KILL.",maxposedon,fixed,resolved,89,normal,0
POLICYKIT-33504,25-01-11,libpolkit,POLICYKIT,GLib-GObject-WARNING & GLib-major,"I'm running Slackware 13.1 x86 with kernel 2.6.36.1 using Xfce 4.8 and polkit-1_22bdfd8 polkit-gnome-0.96 and polkit-qt-1-r1118744.

When I log out of Xfce in the console I get these polkit messages

(polkit-gnome-authentication-agent-1:2370): GLib-GObject-WARNING **: cannot register existing type '_PolkitError'

(polkit-gnome-authentication-agent-1:2370): GLib-major **: g_once_init_leave: assertion 'initialization_value != 0' failed


THANKS",44226ca1,fixed,resolved,29,normal,0
MESA-27060,13-03-10,Drivers/DRI/i965,MESA,[965] piglit glsl-fs-raytrace failure due to lack of function calls.,"Created attachment 34029
misrendered GLSL testcase

The attached testcase doesn't render correctly on a GM45.",kristof.ralovich,fixed,resolved,156,major,2
